id	name_es	name_en	country_id
AX-ST	Sottunga	Sottunga	AX
AX-SV	Saltvik	Saltvik	AX
AX-VR	Vårdö	Vårdö	AX
AZ-ABS	Absherón	Absheron	AZ
AZ-AGA	Agstafa	Agstafa	AZ
AZ-AGC	Agjabadi	Agjabadi	AZ
AZ-AGM	Agdam	Agdam	AZ
AZ-AGS	Agdash	Agdash	AZ
AZ-AGU	Agsu	Agsu	AZ
AZ-AST	Astara	Astara	AZ
AZ-BA	Bakú	Baku	AZ
AZ-BAB	Babak	Babak	AZ
AZ-BAL	Balakan	Balakan	AZ
AZ-BAR	Barda	Barda	AZ
AZ-BEY	Beylagan	Beylagan	AZ
AZ-BIL	Bilasuvar	Bilasuvar	AZ
AZ-CAB	Gabriel	Gabriel	AZ
AZ-CAL	Jalilabad	Jalilabad	AZ
AZ-CUL	Julfa	Julfa	AZ
AZ-DAS	Dashkasan	Dashkasan	AZ
AZ-FUZ	Fuzili	Fizuli	AZ
AZ-GA	Ganja	Ganja	AZ
AZ-GAD	Gadabay	Gadabay	AZ
AZ-GOR	Goranboy	Goranboy	AZ
AZ-GOY	Goychay	Goychay	AZ
AZ-GYG	Goygol	Goygol	AZ
AZ-HAC	Hajigabul	Hajigabul	AZ
AZ-IMI	Imishli	Imishli	AZ
AZ-ISM	Ismayilli	Ismayilli	AZ
AZ-KAL	Kalbajar	Kalbajar	AZ
AZ-KAN	Kǝngǝrli	Kǝngǝrli	AZ
AZ-KUR	Kurdamir	Kurdamir	AZ
AZ-LA	Lankaran	Lankaran	AZ
AZ-LAC	Lachin	Lachin	AZ
AZ-LAN	Lankaran	Lankaran	AZ
AZ-LER	Lerik	Lerik	AZ
AZ-MAS	Masalli	Masalli	AZ
AZ-MI	Mingechevir	Mingachevir	AZ
AZ-NA	Naftalina	Naphthalene	AZ
AZ-NEF	Neftchala	Neftchala	AZ
AZ-NV	Najchiván	Nakhchivan	AZ
AZ-OGU	Oghuz	Oghuz	AZ
AZ-ORD	Ordubad	Ordubad	AZ
AZ-QAB	Gabala	Gabala	AZ
AZ-QAX	Qax	Qax	AZ
AZ-QAZ	Kazakh	Kazakh	AZ
AZ-QBA	Guba	Guba	AZ
AZ-QBI	Gubadli	Gubadli	AZ
AZ-QOB	Qobustan	Qobustan	AZ
AZ-QUS	Gusar	Gusar	AZ
AZ-SA	Shaki	Shaki	AZ
AZ-SAB	Sabirabad	Sabirabad	AZ
AZ-SAD	Sederek	Sederek	AZ
AZ-SAH	Shahbuz	Shahbuz	AZ
AZ-SAK	Shaki	Shaki	AZ
AZ-SAL	Salyan	Salyan	AZ
AZ-SAR	Sherur	Sherur	AZ
AZ-SAT	Reloj	Clock	AZ
AZ-SBN	Shabran	Shabran	AZ
AZ-SIY	Siyazan	Siyazan	AZ
AZ-SKR	Shamkir	Shamkir	AZ
AZ-SM	Sumgait	Sumgait	AZ
AZ-SMI	Shamakhi	Shamakhi	AZ
AZ-SMX	Samukh	Samukh	AZ
AZ-SR	Shirván	Shirvan	AZ
AZ-SUS	Shushá	Shusha	AZ
AZ-TAR	Sarro	Tartar	AZ
AZ-TOV	Tovuz	Tovuz	AZ
AZ-UCA	Ucar	Ucar	AZ
AZ-XA	Stepanakert	Stepanakert	AZ
AZ-XAC	Jachmaz	Khachmaz	AZ
AZ-XCI	Jodjalí	Khojaly	AZ
AZ-XIZ	Xizi	Xizi	AZ
AZ-XVD	Khojavand	Khojavand	AZ
AZ-YAR	Yardimli	Yardimli	AZ
AZ-YE	Yevlaj	Yevlakh	AZ
AZ-YEV	Yevlaj	Yevlakh	AZ
AZ-ZAN	Zengilan	Zengilan	AZ
AZ-ZAQ	Zaqatala	Zaqatala	AZ
AZ-ZAR	Zardab	Zardab	AZ
BA-BIH	La Federación De Bosnia Y Herzegovina	Federation Of Bosnia And Herzegovina	BA
BA-BRC	Distrito De Brcko	Brcko District	BA
BA-SRP	República De Serbia	Republic Of Serbia	BA
BB-01	Iglesia De Cristo	Christ Church	BB
BB-02	San Andrés	Saint Andrew	BB
BB-03	San Jorge	Saint George	BB
BB-04	Saint James	Saint James	BB
BB-05	San Juan	Saint John	BB
BB-06	San José	Saint Joseph	BB
BB-07	Santa Lucía	Saint Lucy	BB
BB-08	San Miguel	Saint Michael	BB
BB-09	San Pedro	Saint Peter	BB
BB-10	San Felipe	Saint Philip	BB
BB-11	Santo Tomás	Saint Thomas	BB
BD-A	Barisal	Barisal	BD
BD-B	Chittagong	Chittagong	BD
BD-C	Dacca	Dhaka	BD
BD-D	Khulna	Khulna	BD
BD-E	Rajshahi	Rajshahi	BD
BD-F	Rangpur	Rangpur	BD
BD-G	Sylhet	Sylhet	BD
BD-M	Mymensingh	Mymensingh	BD
BE-BRU	Bruselas	Brussels	BE
BE-VLG	Flandes	Flanders	BE
BE-WAL	Valonia	Wallonia	BE
BF-BAL	Balé	Balé	BF
BF-BAM	Bam Bam Lago /	Bam / Bam Lake	BF
BF-BAN	Provincia Banwa	Banwa Province	BF
BF-BAZ	Bazèga	Bazèga	BF
BF-BGR	Bougouriba	Bougouriba	BF
BF-BLG	Provincia Boulgou	Boulgou Province	BF
BF-BLK	Boulkiemdé	Boulkiemdé	BF
BF-COM	Comoé	Comoé	BF
BF-GAN	Provincia Ganzourgou	Ganzourgou Province	BF
BF-GNA	Gnagna	Gnagna	BF
BF-GOU	Provincia Gourma	Gourma Province	BF
BF-HOU	Houet	Houet	BF
BF-IOB	Ioba	Ioba	BF
BF-KAD	Kadiogo	Kadiogo	BF
BF-KEN	Kénédougou	Kénédougou	BF
BF-KMD	Komondjari	Komondjari	BF
BF-KMP	Kompienga	Kompienga	BF
BF-KOP	Koulpélogo	Koulpélogo	BF
BF-KOS	Provincia Kossi	Kossi Province	BF
BF-KOT	Kouritenga	Kouritenga	BF
BF-KOW	Kourwéogo	Kourwéogo	BF
BF-LER	Léraba	Léraba	BF
BF-LOR	Loroum	Loroum	BF
BF-MOU	Mouhoun	Mouhoun	BF
BF-NAM	Namentenga	Namentenga	BF
BF-NAO	Naouri	Naouri	BF
BF-NAY	Nayala	Nayala	BF
BF-NOU	Noumbiel	Noumbiel	BF
BF-OUB	Oubritenga	Oubritenga	BF
BF-OUD	Oudalan	Oudalan	BF
BF-PAS	Passoré	Passoré	BF
BF-PON	Poni	Poni	BF
BF-SEN	Seno	Seno	BF
BF-SIS	Sissili	Sissili	BF
BF-SMT	Sanmatenga	Sanmatenga	BF
BF-SNG	Sanguié	Sanguié	BF
BF-SOM	Soum	Soum	BF
BF-SOR	Sourou	Sourou	BF
BF-TAP	Tapoa	Tapoa	BF
BF-TUI	Tui	Tui	BF
BF-YAG	Yagha	Yagha	BF
BF-YAT	Yatenga	Yatenga	BF
BF-ZIR	Ziro	Ziro	BF
BF-ZON	Zondoma	Zondoma	BF
BF-ZOU	Zoundwéogo	Zoundwéogo	BF
BG-01	Blagoevgrad	Blagoevgrad	BG
BG-02	Burgas	Burgas	BG
BG-03	Varna	Varna	BG
BG-04	Veliko Tarnovo	Veliko Tarnovo	BG
BG-05	Vidin	Vidin	BG
BG-06	Vratsa	Vratsa	BG
BG-07	Gabrovo	Gabrovo	BG
BG-08	Dobrich	Dobrich	BG
BG-09	Kardzhali	Kardzhali	BG
BG-10	Kyustendil	Kyustendil	BG
BG-11	Lovech	Lovech	BG
BG-12	Montana	Montana	BG
BG-13	Pazardzhik	Pazardzhik	BG
BG-14	Pernik	Pernik	BG
BG-15	Pleven	Pleven	BG
BG-16	Plovdiv	Plovdiv	BG
BG-17	Razgrad	Razgrad	BG
BG-18	Ruse	Ruse	BG
BG-19	Silistra	Silistra	BG
BG-20	Sliven	Sliven	BG
BG-21	Smolyan	Smolyan	BG
BG-22	Sofía	Sofia	BG
BG-23	Sofía	Sofia	BG
BG-24	Stara Zagora	Stara Zagora	BG
BG-25	Targovishte	Targovishte	BG
BG-26	Haskovo	Haskovo	BG
BG-27	Shumen	Shumen	BG
BG-28	Yambol	Yambol	BG
BH-13	Capital De Gobernación	Capital Governorate	BH
BH-14	Sur	South	BH
BH-15	Muharraq	Muharraq	BH
BH-17	Norte	North	BH
BI-BB	Bubanza	Bubanza	BI
BI-BL	Bujumbura Rural	Bujumbura Rural	BI
BI-BM	Bujumbura Mairie	Bujumbura Mairie	BI
BI-BR	Bururi	Bururi	BI
BI-CA	Cankuzo	Cankuzo	BI
BI-CI	Cibitoke	Cibitoke	BI
BI-GI	Gitega	Gitega	BI
BI-KI	Kirundo	Kirundo	BI
BI-KR	Karuzi	Karuzi	BI
BI-KY	Kayanza	Kayanza	BI
BI-MA	Makamba	Makamba	BI
BI-MU	Muramvya	Muramvya	BI
BI-MW	Mwaro	Mwaro	BI
BI-MY	Muyinga	Muyinga	BI
BI-NG	Ngozi	Ngozi	BI
BI-RT	Rutana	Rutana	BI
BI-RY	Ruyigi	Ruyigi	BI
BJ-AK	Atakora	Atakora	BJ
BJ-AL	Alibori	Alibori	BJ
BJ-AQ	Atlántico	Atlantic	BJ
BJ-BO	Borgou	Borgou	BJ
BJ-CO	Departamento Colinas	Hills Department	BJ
BJ-DO	Donga	Donga	BJ
BJ-KO	Kouffo	Kouffo	BJ
BJ-LI	Departamento Litoral	Littoral Department	BJ
BJ-MO	Departamento Mono	Mono Department	BJ
BJ-OU	Ouémé	Ouémé	BJ
BJ-PL	Bandeja	Tray	BJ
BJ-ZO	Zou	Zou	BJ
BL-01	Bajo El Viento	Downwind	BL
BL-02	El Viento Se Llevó	The Wind	BL
BM-01	Devonshire Parish	Devonshire Parish	BM
BM-02	Hamilton Parish	Hamilton Parish	BM
BM-03	Hamilton	Hamilton	BM
BM-04	Paget Parish	Paget Parish	BM
BM-05	Pembroke Parish	Pembroke Parish	BM
BM-06	Ciudad De St. George	Town Of St. George	BM
BM-07	Parroquia De San Jorge	St. George'S Parish	BM
BM-08	Sandys Parish	Sandys Parish	BM
BM-09	Parroquia De Smith	Smith'S Parish	BM
BM-10	Southampton Parish	Southampton Parish	BM
BM-11	Parroquia De Warwick	Warwick Parish	BM
BN-BE	Belait	Belait	BN
BN-BM	Brunei Muara	Brunei Muara	BN
BN-TE	Temburong	Temburong	BN
BN-TU	Tutong	Tutong	BN
BO-B	Beni	Beni	BO
BO-C	Cochabamba	Cochabamba	BO
BO-H	Chuquisaca	Chuquisaca	BO
BO-L	La Paz	La Paz	BO
BO-N	Pando	Pando	BO
BO-O	Oruro	Oruro	BO
BO-P	Potosí	Potosí	BO
BO-S	Santa Cruz	Santa Cruz	BO
BO-T	Tarija	Tarija	BO
BR-AC	Acre	Acre	BR
BR-AL	Alagoas	Alagoas	BR
BR-AM	Amazonas	Amazon	BR
BR-AP	Amapá	Amapá	BR
BR-BA	Bahía	Bahia	BR
BR-CE	Ceará	Ceará	BR
BR-DF	Distrito Federal	Distrito Federal	BR
BR-ES	Espíritu Santo	Holy Spirit	BR
BR-GO	Goiás	Goiás	BR
BR-MA	Maranhão	Maranhão	BR
BR-MG	Minas Gerais	Minas Gerais	BR
BR-MS	Mato Grosso Del Sur	Mato Grosso Do Sul	BR
BR-MT	Mato Grosso	Mato Grosso	BR
BR-PA	Pará	For	BR
BR-PB	Paraíba	Paraíba	BR
BR-PE	Pernambuco	Pernambuco	BR
BR-PI	Piauí	Piauí	BR
BR-PR	Paraná	Paraná	BR
BR-RJ	Rio De Janeiro	Rio De Janeiro	BR
BR-RN	Río Grande Del Norte	Large Northern River	BR
BR-RO	Rondônia	Rondônia	BR
BR-RR	Roraima	Roraima	BR
BR-RS	Río Grande Del Sur	Rio Grande Do Sul	BR
BR-SC	Santa Catarina	Santa Catarina	BR
BR-SE	Sergipe	Sergipe	BR
BR-SP	San Pablo	Sao Paulo	BR
BR-TO	Tocantins	Tocantins	BR
BS-01	Acklins	Acklins Island	BS
BS-02	Bimini	Bimini	BS
BS-03	Cat Island	Cat Island	BS
BS-04	Exuma	Exuma	BS
BS-05	Puerto Libre	Freeport	BS
BS-06	Fresh Creek	Fresh Creek	BS
BS-07	Puerto Del Gobernador	Governor'S Harbour	BS
BS-08	Green Turtle Cay	Green Turtle Cay	BS
BS-09	Harbour Island	Harbour Island	BS
BS-10	High Rock	High Rock	BS
BS-11	Inagua	Inagua	BS
BS-12	Kemps Bay	Kemps Bay	BS
BS-13	Isla Grande	Long Island	BS
BS-14	Marsh Harbour	Marsh Harbour	BS
BS-15	Mayaguana	Mayaguana	BS
BS-16	Nueva Providencia	New Providence	BS
BS-17	Nichollstown Y Berry Islands	Nichollstown And Berry Islands	BS
BS-18	Isla Desigual	Ragged Island	BS
BS-19	Rock Sound	Rock Sound	BS
BS-20	San Salvador Y Rum Cay	San Salvador And Rum Cay	BS
BS-21	Sandy Point	Sandy Point	BS
BS-22	Berry Islands	Berry Islands	BS
BS-23	Punto Negro	Black Point	BS
BS-24	Central Abaco	Central Abaco	BS
BS-28	Crooked Island Y Long Cay	Crooked Island And Long Cay	BS
BS-29	East Grand Bahama	East Grand Bahama	BS
BS-33	North Eleuthera	North Eleuthera	BS
BS-35	Sur Abaco	South Abaco	BS
BS-36	South Andros	South Andros	BS
BS-37	Eleuthera Sur	South Eleuthera	BS
BS-39	West Grand Bahama	West Grand Bahama	BS
BS-40	Isla De Moore	Moore’S Island	BS
BS-41	Andros Del Norte	North Andros	BS
BS-42	Abaco Norte	North Abaco	BS
BT-11	Paro	Paro	BT
BT-12	Chhukha	Chhukha	BT
BT-13	Haa	Haa	BT
BT-14	Samtse	Samtse	BT
BT-15	Thimphu	Thimphu	BT
BT-21	Tsirang	Tsirang	BT
BT-22	Dagana	Dagana	BT
BT-23	Punakha	Punakha	BT
BT-24	Wangdue	Wangdue Phodrang	BT
BT-31	Sarpang	Sarpang	BT
BT-32	Trongsa	Trongsa	BT
BT-33	Bumthang	Bumthang	BT
BT-34	Zhemgang	Zhemgang	BT
BT-41	Trashigang	Trashigang	BT
BT-42	Mongar	Mongar	BT
BT-43	Pemagatshel	Pemagatshel	BT
BT-44	Lhuntse	Lhuntse	BT
BT-45	Samdrup Jongkhar	Samdrup Jongkhar	BT
BT-GA	Gasa	Gasa	BT
BT-TY	Trashiyangtse	Trashiyangtse	BT
BV-BV	Isla Bouvet	Bouvet Island	BV
BW-CE	Central	Central	BW
BW-GH	Ghanzi	Ghanzi	BW
BW-KG	Kgalagadi	Kgalagadi	BW
BW-KL	Kgatleng	Kgatleng	BW
BW-KW	Kweneng	Kweneng	BW
BW-NE	Noreste	North East	BW
BW-NW	Noroeste	North West	BW
BW-SE	Sureste	South East	BW
BW-SO	Del Sur	Southern	BW
BY-BR	Región De Brest	Brest Region	BY
BY-HM	Minsk	Minsk	BY
BY-HO	Región De Gomel	Gomel Region	BY
BY-HR	La Región De Grodno	Grodno Region	BY
BY-MA	Región De Mogilev	Mogilev Region	BY
BY-MI	La Región De Minsk	Minsk Oblast	BY
BY-VI	Región De Vitebsk	Vitebsk Region	BY
BZ-BZ	Distrito De Belice	Belize District	BZ
BZ-CY	Distrito De Cayo	Cayo District	BZ
BZ-CZL	Distrito De Corozal	Corozal District	BZ
BZ-OW	Distrito De Orange Walk	Orange Walk District	BZ
BZ-SC	Distrito De Stann Creek	Stann Creek District	BZ
BZ-TOL	Distrito De Toledo	Toledo District	BZ
CA-AB	Alberta	Alberta	CA
CA-BC	Colombia Británica	British Columbia	CA
CA-MB	Manitoba	Manitoba	CA
CA-NB	Nuevo Brunswick	New Brunswick	CA
CA-NL	Newfoundland Y Labrador	Newfoundland And Labrador	CA
CA-NS	Nueva Escocia	Nova Scotia	CA
CA-NT	Territorios Del Noroeste	Northwest Territories	CA
CA-NU	Nunavut	Nunavut	CA
CA-ON	Ontario	Ontario	CA
CA-PE	Isla Del Príncipe Eduardo	Prince Edward Island	CA
CA-QC	Quebec	Quebec	CA
CA-SK	Saskatchewan	Saskatchewan	CA
CA-YT	Yukón	Yukon	CA
CC-DI	Dirección Isla	Direction Island	CC
CC-HM	Hogar De La Isla	Home Island	CC
CC-HR	Isla Horsburgh	Horsburgh Island	CC
CC-NK	Keeling Isla Norte	North Keeling Island	CC
CC-SI	Isla Del Sur	South Island	CC
CC-WI	West Island	West Island	CC
CD-BC	Bajo Congo	Lower Congo	CD
CD-BN	Bandundu	Bandundu	CD
CD-EQ	Ecuador	Ecuador	CD
CD-KA	Katanga	Katanga	CD
CD-KE	Kasai Occidental	Kasai Occidental	CD
CD-KN	Kinshasa	Kinshasa	CD
CD-KW	Kasai Oriental	Kasai Oriental	CD
CD-MA	Maniema	Maniema	CD
CD-NK	Kivu Del Norte	North Kivu	CD
CD-OR	Oriental	Eastern	CD
CD-SK	Kivu Del Sur	South Kivu	CD
CF-10	Nana Grebizi	Nana Grebizi	CF
CF-AC	Ouham	Ouham	CF
CF-BB	Bamingui-Bangoran	Bamingui-Bangoran	CF
CF-BGF	Bangui	Bangui	CF
CF-BK	Menor Kotto	Lower Kotto	CF
CF-HK	Haute-Kotto	Haute-Kotto	CF
CF-HM	Haut-Mbomou	Haut-Mbomou	CF
CF-HS	Mambéré-Kadéï	Mambéré-Kadéï	CF
CF-KG	Kemo	Kemo	CF
CF-LB	Lobaye	Lobaye	CF
CF-MB	Mbomou	Mbomou	CF
CF-MP	Ombella-M'Poko	Ombella-M'Poko	CF
CF-NM	Nana-Mambéré	Nana-Mambéré	CF
CF-OP	Ouham Pendé	Ouham Péndé	CF
CF-SE	Sangha- Mbaéré	Sangha-Mbaéré	CF
CF-UK	Ouaka	Ouaka	CF
CF-VK	Vakaga	Vakaga	CF
CG-11	Bouenza	Bouenza	CG
CG-12	Piscina	Pool	CG
CG-13	Sangha	Sangha	CG
CG-14	Tierras Altas	Uplands	CG
CG-15	Cubeta-Ouest	Cuvette-Ouest	CG
CG-16	Pointe-Noire	Black Point	CG
CG-2	Lékoumou	Lékoumou	CG
CG-5	Kouilou	Kouilou	CG
CG-7	Likuala	Likouala	CG
CG-8	Bowl	Bowl	CG
CG-9	Niari	Niari	CG
CG-BZV	Brazzaville	Brazzaville	CG
CH-AG	Argovia	Aargau	CH
CH-AI	Appenzell Innerhoden	Appenzell Innerhoden	CH
CH-AR	Appenzell Rodas Exteriores	Appenzell Outer Rhodes	CH
CH-BE	Berna	Bern	CH
CH-BL	Basilea-País	Basel-Country	CH
CH-BS	Basilea-Ciudad	Basel-Stadt	CH
CH-FR	Friburgo	Friborg	CH
CH-GE	Ginebra	Geneva	CH
CH-GL	Glarus	Glarus	CH
CH-GR	Grisons	Grisons	CH
CH-JU	Montañas Del Jura	Jura Mountains	CH
CH-LU	Lucerna	Lucerne	CH
CH-NE	Neuchatel	Neuchâtel	CH
CH-NW	Nidwalden	Nidwalden	CH
